date,location,gndr,age,employ,student,efl,income,os,model,phage,provider,chngpro,chngprowhy,phone+,bothcontract,whodwnld,game,bus/train,socialmed,calendar,messapp,email,music,bank,weather,browse,news,paidapp,learnapp,frequsetxt,frequsecl,frequsefb,frequseem,bought,fillform,pubprofile,bank,nobankacct,infosafe,mnysecr,fees,face2face,atm,,,,
8/1-8/7,Williamsburg Welfare Office,1,0,4,0,0,0,1,LG,0,0,1,,1,,0,1,0,0,0,1,0,0,1,0,0,1,1,1,2,1,0,3,1,1,0,1,2,1,1,1,1,1,,,,
7/30/14,Brownsville (Clinic),0,0,4,0,0,0,0,,,0,1,,1,,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,3,1,1,0,1,1,1,1,0,1,1,,,,
7/26/14,Brownsville (Old Timers Day),1,0,2,1,0,0,,,,0,1,,1,,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,3,1,2,1,1,0,1,2,1,1,1,1,1,,,,
7/19/14,Online - Facebook ,0,0,4,2,0,0,1,Galaxy,0,1,0,3,1,,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/22/14,SoBro (Simpson/196),1,0,2,2,0,0,1,Galaxy,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,2,3,1,1,0,1,2,1,1,1,1,1,,,,
7/25/14,Central Park,0,0,2,2,0,0,0,iphone,0,1,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,3,2,1,0,0,1,0,1,2,1,1,0,1,1,,,,
7/30/14,Brownsville (Clinic),0,0,2,2,0,0,1,S5,0,1,0,3,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,0,0,0,1,1,1,1,1,0,1,,,,
8/2/14,SoBro (personal party),0,0,2,2,0,0,1,samsung,0,1,0,3,1,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,2,3,0,0,1,0,2,1,1,1,1,1,,,,
8/2/14,Bedford Ave,0,0,4,0,0,0,1,LG,1,1,1,,1,,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,3,2,4,1,0,0,1,2,1,1,1,0,1,,,,
7/19/14,Online - Facebook ,0,0,4,0,0,0,1,Galaxy,1,1,0,3,1,,0,0,1,0,1,1,0,0,1,1,0,1,0,1,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/18/14,Phone - personal network,1,0,4,0,0,0,1,Galaxy,1,1,0,3,1,,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,2,1,3,1,1,0,0,2,1,1,1,1,1,,,,
7/19/14,SoBro (St Mary’s Park),1,0,4,0,1,0,1,Galaxy,1,1,0,3,1,,0,0,1,0,1,0,0,0,1,1,0,1,0,1,2,0,3,1,1,1,0,1,2,1,1,1,1,1,,,,
7/18/14,Phone - personal network,0,0,4,0,0,0,1,Galaxy,1,1,0,3,1,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,2,1,0,3,0,1,0,0,2,1,1,1,1,1,,,,
         7/19/2014,Harlem,0,0,2,2,0,0,2,,1,1,1,,1,,0,0,0,0,1,0,1,0,1,1,0,0,1,2,1,2,3,4,0,1,1,1,2,1,1,1,1,1,,,,
7/25/14,Central Park,0,0,2,2,1,0,0,iphone,2,1,1,,1,,1,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/22/14,SoBro (Simpson/196),1,0,2,2,1,0,1,Galaxy,2,1,0,3,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,2,3,1,0,0,1,0,1,2,1,1,0,1,1,,,,
7/27/14,NYCHA,1,0,2,2,0,0,1,Galaxy,4,1,1,,1,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,1,1,1,0,0,2,1,1,1,1,1,,,,
8/2/14,SoBro (personal party),1,0,2,2,0,0,0,iphone,,1,1,,1,,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
8/4/14,NYCHA,1,0,1,0,0,0,0,,,1,1,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,3,0,1,0,1,0,1,1,1,1,1,,,,
7/29/14,Marine Park (King’s Plaza),1,0,1,1,0,0,1,S5,,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,0,0,1,1,1,1,1,1,,,,
8/2/14,SoBro (personal party),0,0,0,2,0,0,0,iphone,0,2,0,3,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,2,0,3,0,1,0,1,2,1,1,1,1,1,,,,
8/9/14,Park Slope (Sunset park market),0,0,4,0,0,0,2,nokia lumia,1,2,0,0,1,,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,3,1,4,1,1,1,1,2,1,1,1,0,1,,,,
8/2/14,SoBro (personal party),0,0,1,2,1,0,0,iphone,1,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,3,0,1,1,1,2,1,1,1,1,1,,,,
7/22/14,SoBro (Simpson/196),0,0,4,2,0,0,2,HTC,,2,1,,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/26/14,Brownsville (Old Timers Day),0,0,4,0,0,0,1,samsung,1,3,1,,1,,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,3,1,0,1,1,1,2,1,1,1,1,1,,,,
8/1-8/7,Bronx Zoo,1,0,4,0,0,0,1,samsung,2,3,1,,1,,0,0,1,0,1,1,0,0,1,1,0,1,1,0,3,0,1,2,1,1,1,1,2,1,1,1,1,1,,,,
8/9/14,Park Slope (Sunset park market),0,0,1,0,0,0,0,iphone,2,3,1,,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,4,3,2,0,1,1,1,2,1,1,1,0,1,,,,
8/9/14,Park Slope (Sunset park market),1,0,1,1,1,0,0,iphone,4,3,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,4,0,1,1,1,2,1,1,1,0,1,,,,
7/25/14,Central Park,0,0,4,0,0,0,1,samsung,,3,1,,1,,0,0,1,0,1,1,0,0,1,1,0,1,1,0,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
8/4/14,Harlem,0,0,4,0,0,0,1,Galaxy,,3,1,,1,,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,3,0,2,1,0,1,,0,0,0,1,1,1,,,,
7/19/14,Harlem,1,0,2,2,0,0,0,iphone,,3,0,2,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,4,3,2,1,0,0,0,0,2,1,1,1,1,1,,,,
,,0,0,4,0,0,0,1,HTC,,3,1,,0,1,3,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,2,3,0,1,1,1,2,1,1,1,0,1,,,,
8/2/14,SoBro (personal party),1,0,4,0,0,0,1,note,0,5,1,,1,,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,3,0,1,1,1,1,1,1,1,1,0,,,,
7/18/14,Central Park,0,0,2,1,0,0,1,samsung,1,5,0,0,1,,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,2,0,3,0,1,0,1,2,1,1,1,0,1,,,,
8/2/14,Bedford Ave,0,0,4,0,0,0,0,iphone,0,6,1,,1,,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,2,4,1,1,0,1,2,1,1,1,0,1,,,,
7/18/14,Central Park,1,0,4,0,0,0,1,LG,0,6,1,,1,,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
8/4/14,Harlem,1,0,4,0,0,0,0,iphone,1,6,1,,1,,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,3,0,2,1,1,0,1,0,1,1,1,1,1,,,,
7/19/14,SoBro (St Mary’s Park),0,0,4,2,0,0,0,iphone,2,6,1,,1,,0,0,1,0,1,1,1,0,1,1,0,1,0,0,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/22/14,SoBro (Simpson/196),1,0,2,2,0,0,0,iphone,2,6,1,,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,2,3,1,0,1,1,0,1,2,1,1,1,1,1,,,,
7/19/14,SoBro (St Mary’s Park),0,0,4,2,0,0,2,HTC,2,6,1,,1,,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
8/2/14,SoBro (personal party),0,0,2,2,0,0,3,Blackberry,4,6,1,,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,2,1,0,3,1,1,0,1,2,1,1,1,1,1,,,,
7/30/14,Brownsville (Clinic),1,0,4,0,1,0,0,iphone,,6,1,,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,1,1,0,1,1,1,1,1,1,1,,,,
7/25/14,Central Park,0,0,2,2,0,0,1,sony xperia,0,7,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,2,3,1,0,1,1,0,1,2,1,1,1,1,1,,,,
7/18/14,Central Park,1,0,4,2,1,0,1,samsung,1,8,1,,1,,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,2,1,3,1,1,0,1,2,1,1,1,1,1,,,,
8/10/14,Dominican Pride Parade,0,0,4,0,0,1,1,Galaxy,1,0,0,3,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,2,3,4,1,0,0,1,2,1,1,1,1,1,,,,
7/30/14,Brownsville (Clinic),0,0,1,0,1,1,0,iphone,0,1,0,4,1,,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,1,2,0,1,0,1,0,1,1,1,1,1,,,,
8/3/14,Harlem,0,0,4,0,1,1,0,iphone,1,1,1,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,1,0,0,1,1,1,1,1,1,,,,
8/7/14,Bergen Welfare Center,0,0,4,0,0,1,1,Galaxy,2,1,0,3,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,3,2,4,1,1,0,1,2,1,1,1,1,0,,,,
7/18/14,Central Park,0,0,4,0,0,1,1,samsung,2,1,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,3,2,1,1,1,0,2,1,1,1,0,1,,,,
7/30/14,Flatbush Ave,0,0,2,2,0,1,1,Galaxy,2,1,1,,1,,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,2,4,0,1,0,1,2,1,1,1,0,1,,,,
8/4/14,NYCHA,0,0,0,2,1,1,0,iphone,,1,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,1,1,1,1,1,,,,
,,0,0,4,0,0,1,0,iphone,0,2,0,0,1,,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,1,3,0,1,1,1,0,1,1,1,1,1,,,,
8/4/14,Harlem,0,0,1,0,1,1,0,iphone,0,2,0,3,1,,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2,0,1,3,0,1,0,1,0,0,0,1,1,1,,,,
8/9/14,Park Slope (Sunset park market),0,0,4,0,0,1,0,iphone,2,2,1,,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,3,2,4,0,1,0,1,2,1,1,1,1,1,,,,
7/23/14,Bronx Zoo,1,0,4,0,0,1,1,samsung,1,3,1,,1,,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,3,1,2,1,1,1,1,2,1,0,1,1,1,,,,
7/23/14,Bronx Zoo,0,0,4,0,1,1,1,LG,1,5,1,,1,,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,3,2,1,1,0,1,2,1,1,1,1,1,,,,
8/3/14,Harlem,1,0,0,0,0,1,1,Galaxy,3,5,1,,1,,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,2,1,3,1,0,1,1,1,1,1,1,1,0,,,,
8/2/14,Dwtn Bklyn,1,0,4,0,1,1,1,HTC,0,6,1,,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,3,2,1,0,1,1,0,1,2,1,1,1,1,0,,,,
7/22/14,SoBro (Simpson/196),1,0,1,2,0,1,0,iphone,,6,1,,1,,0,0,1,0,1,1,0,0,1,1,1,1,1,1,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
7/26/14,Brownsville (Old Timers Day),1,0,4,0,0,1,1,,,6,1,,1,,0,0,1,0,1,1,1,0,1,1,1,1,1,0,2,1,0,3,1,1,0,1,2,1,1,1,1,1,,,,
7/22/14,SoBro (Simpson/196),1,0,1,2,0,1,0,iphone,,6,1,,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,2,3,0,1,0,1,2,1,1,0,1,1,,,,
7/19/14,SoBro (St Mary’s Park),1,0,1,2,0,1,1,Galaxy,2,8,0,3,1,,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,2,1,3,1,1,1,0,2,1,1,1,1,1,,,,
7/30/14,Flatbush Ave,1,0,2,2,0,2,1,Galaxy,1,0,1,,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,3,4,2,0,1,0,0,2,1,1,1,1,0,,,,
8/9/14,Park Slope (Sunset park market),0,0,4,0,0,2,1,Galaxy,2,0,0,3,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,2,3,1,4,0,0,0,1,2,0,1,1,1,1,,,,
8/1-8/7,Bronx Zoo,0,0,4,0,0,2,1,LG,0,1,1,,1,,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,3,1,1,0,1,2,1,1,1,1,1,,,,
7/19/14,Online - Facebook ,0,0,4,0,0,2,1,Galaxy,1,1,0,3,1,,0,0,1,0,0,1,0,0,1,1,0,1,1,1,2,0,1,3,1,1,0,1,2,1,1,1,1,1,,,,
,,0,0,4,0,0,2,1,,1,1,1,,1,,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,2,3,0,,,1,1,1,1,1,1,1,,,,
